invoice_no,company_name,item_description,category,quantity,unit_price,subtotal,tax,total
QT-250124-052,City Management,"SANITARY PLUMBING WORK- TO CLEAR MINOR BLOCKAGE (TOILET, SINK AREA & ALL OUTLET PIPE)",Plumber,1,127.5,292.5,23.4,315.9
QT-250124-052,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,292.5,23.4,315.9
QT-250124-052,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,292.5,23.4,315.9
QT-250124-043,City Management,BASIC AIR COND SERVICING (CEILING EXPOSED TYPE) - 3.0HP TO 5.0HP,Aircon Servicing,1,42.5,335.0,26.8,361.8
QT-250124-043,City Management,TO PERFORM CHEMICAL WASH & CLEAN FOR OUTDOOR ONLY (3-5HP),Aircon Servicing,1,127.5,335.0,26.8,361.8
QT-250124-043,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,335.0,26.8,361.8
QT-250124-043,City Management,TRANSPORTATION - KLANG VALLEY,Transportation,1,100.0,335.0,26.8,361.8
QT-250124-047,Viva La,TO SUPPLY AND REPLACE EXISTING WATER STORAGE HEATER TANK 45 LITRE,Plumber,1,1800.0,2550.0,204.0,2754.0
QT-250124-047,Viva La,REPAIR AND TOUCH UP PLASTER CEILING HOLE WITH PAINTING,Plumber,1,750.0,2550.0,204.0,2754.0
QT-250124-053,City Management,CHEMICAL AIR COND SERVICING (CASSETTE TYPE UNIT) - 4.0HP TO 5.0HP,Aircon Servicing,1,340.0,537.5,43.0,580.5
QT-250124-053,City Management,CITY LABOUR CHARGE,Labour Charge,6,16.25,537.5,43.0,580.5
QT-250124-053,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,537.5,43.0,580.5
QT-250124-041,City Management,TOP UP/ REFILL R22GAS1.0 HP TO 3.0 HP (30PSI),Aircon Servicing,1,30.0,162.5,13.0,175.5
QT-250124-041,City Management,CITY LABOUR CHARGE,Labour Charge,2,16.25,162.5,13.0,175.5
QT-250124-041,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,162.5,13.0,175.5
QT-250124-039,City Management,CHEMICAL AIR COND SERVICING (CASSETTE TYPE UNIT) - 4.0HP TO 5.0HP,Aircon Servicing,1,340.0,699.5,55.96,755.46
QT-250124-039,City Management,TO SUPPLY AND REPLACE 2'X2' CEILING BOARD (BELOW 5NOS),Aircon Servicing,1,12.0,699.5,55.96,755.46
QT-250124-039,City Management,CITY LABOUR CHARGE,Labour Charge,6,16.25,699.5,55.96,755.46
QT-250124-039,City Management,TRANSPORTATION- NON KLANG VALLEY,Transportation,1,250.0,699.5,55.96,755.46
QT-250123-035,City Management,PLUMBING WORKS,Plumber,1,230.0,395.0,31.6,426.6
